timestamp,min cpu,max cpu,avg cpu
2017-01-01 00:00:00,715146.536821001,2223302.432966985,1229569.3712429872
2017-01-01 00:05:00,700473.840324006,2212393.245714982,1211321.7086810155
2017-01-01 00:10:00,705953.565850016,2213056.745168996,1206634.9139449815
2017-01-01 00:15:00,688383.0732210021,2187572.239358009,1190368.506855007
2017-01-01 00:20:00,688276.5510329921,2183684.4859009846,1180991.6877060055
2017-01-01 00:25:00,691089.1386180044,2284281.568408021,1220288.9563070145
2017-01-01 00:30:00,683834.7677170074,2200116.40977098,1192507.8867380065
2017-01-01 00:35:00,671049.3292029907,2173881.26103097,1164390.1489359955
2017-01-01 00:40:00,668678.4201290132,2171678.922851981,1163261.8610120222
2017-01-01 00:45:00,669317.4245689983,2182964.84308901,1164324.219565004
2017-01-01 00:50:00,666220.053860996,2179623.2962509966,1166436.3013700126
2017-01-01 00:55:00,684861.2743709935,2200703.217207998,1190592.4298289944
2017-01-01 01:00:00,668646.728536997,2176372.2093970045,1171241.8975610088
2017-01-01 01:05:00,664510.6576020072,2148640.059295,1148830.6300590015
2017-01-01 01:10:00,661465.6777379917,2138898.0304969517,1141471.5978769958
2017-01-01 01:15:00,655958.2522390062,2131909.8325660145,1136152.9615889871
2017-01-01 01:20:00,660509.0619869889,2107371.5687710163,1128997.3019279924
2017-01-01 01:25:00,662387.1241119938,2184265.0533449873,1155790.7483980064
2017-01-01 01:30:00,668069.8069629968,2173808.11349298,1164683.3522129888
2017-01-01 01:35:00,666509.2943589996,2165400.4022470107,1154649.0624310356
2017-01-01 01:40:00,657460.5090209972,2129900.213565982,1137819.823279999
2017-01-01 01:45:00,652357.3782510066,2095266.5241580075,1120422.1019319894
2017-01-01 01:50:00,649199.535672005,2089408.04775899,1117945.197616001
2017-01-01 01:55:00,651861.6182220032,2112406.664265982,1129061.7695379818
2017-01-01 02:00:00,661692.0598330027,2088786.9746250191,1124319.3228630037
2017-01-01 02:05:00,658051.9698929904,2130695.9418669855,1146013.9976839807
2017-01-01 02:10:00,665440.692399013,2119482.891520997,1141822.0257740393
2017-01-01 02:15:00,640203.9558289944,2100313.8185059805,1108894.7525150008
2017-01-01 02:20:00,635376.0138869886,2055847.3996499758,1087880.8181230046
2017-01-01 02:25:00,641987.4575250045,2152493.561010004,1124973.9709219886
2017-01-01 02:30:00,652156.1048920106,2109183.3701830213,1124757.841782992
2017-01-01 02:35:00,648012.5157510046,2107531.1590360315,1116754.2032229942
2017-01-01 02:40:00,645643.9568830018,2085769.0990590185,1115290.8894070159
2017-01-01 02:45:00,635862.0989540115,2054346.9022920232,1088367.392815996
2017-01-01 02:50:00,633329.7361229856,2027302.401436016,1078826.1949999942
2017-01-01 02:55:00,633406.1107189985,2076533.7909670172,1098975.3310169836
2017-01-01 03:00:00,638736.9413509939,2050269.840963987,1096470.750619005
2017-01-01 03:05:00,643744.7329350039,2062090.651877989,1104377.789824019
2017-01-01 03:10:00,638436.5876219965,2086636.61774002,1105964.9044429965
2017-01-01 03:15:00,643913.2620509972,2050126.877342004,1093612.3384019893
2017-01-01 03:20:00,640278.2561649986,2033195.9538120013,1083965.6417320156
2017-01-01 03:25:00,632012.0764519958,2096526.3296230384,1096274.6564880065
2017-01-01 03:30:00,630739.0186510009,2030914.475229017,1073246.7230000077
2017-01-01 03:35:00,628816.8278379922,2023604.0105260075,1068473.23573499
2017-01-01 03:40:00,631922.5876660065,2023132.7901060274,1075103.317537006
2017-01-01 03:45:00,624978.6886610097,2011575.8312109844,1065596.8556710086
2017-01-01 03:50:00,624870.2457930044,1997749.560514985,1063065.4201450006
2017-01-01 03:55:00,634156.0430950131,2033270.21179601,1088123.2587319915
2017-01-01 04:00:00,625970.9657839953,2014235.7078690084,1071904.8874199886
2017-01-01 04:05:00,633467.8906430098,2015329.1783270168,1073227.3013459991
2017-01-01 04:10:00,642816.4370769978,2050262.8483609988,1093776.5086620029
2017-01-01 04:15:00,652810.8875410096,2066091.5323919998,1102017.7345489971
2017-01-01 04:20:00,658719.3874679973,2062488.8436979912,1100262.454410986
2017-01-01 04:25:00,650654.1709789927,2146585.4538550004,1130185.6310330206
2017-01-01 04:30:00,636051.7840100074,2068863.2838429983,1093172.837527005
2017-01-01 04:35:00,637047.5510380064,2050516.2243519616,1086500.9631650043
2017-01-01 04:40:00,634721.9873830145,2053039.627371988,1090316.1006409943
2017-01-01 04:45:00,639096.271262989,2043988.9822059872,1084622.5218279914
2017-01-01 04:50:00,633310.5860710046,2033072.6270189674,1082797.6034009934
2017-01-01 04:55:00,630115.8924210003,2042700.5002329976,1076871.9047960113
2017-01-01 05:00:00,617634.7736059929,2006220.372343003,1056629.3316310034
2017-01-01 05:05:00,613536.0226280029,2012749.131376974,1053482.2755099991
2017-01-01 05:10:00,629144.7864449978,2059814.602482015,1073809.9600429996
2017-01-01 05:15:00,615437.6520759981,2056488.892083008,1074253.936589994
2017-01-01 05:20:00,629335.1944849987,2064507.545213989,1079622.2414099982
2017-01-01 05:25:00,626792.729106002,2117637.461229014,1096647.528493007
2017-01-01 05:30:00,626558.5930789912,2060712.487793956,1077140.362998015
2017-01-01 05:35:00,614871.295182005,2029227.4003540082,1054747.6833270143
2017-01-01 05:40:00,607363.2377139926,2026841.6274479902,1048758.4459969844
2017-01-01 05:45:00,606577.6968370038,2001270.7986310048,1038471.6560250007
2017-01-01 05:50:00,608346.7129010017,2025304.6601899927,1056784.0653459886
2017-01-01 05:55:00,627559.3452980099,2038072.725359031,1078485.3082270157
2017-01-01 06:00:00,628639.2693380025,2027766.2199400002,1073635.6610510028
2017-01-01 06:05:00,629281.7170079928,2021176.4573899829,1067369.4616240195
2017-01-01 06:10:00,622108.6384699972,2058716.5334149653,1073364.5103530008
2017-01-01 06:15:00,624944.7731649891,2074887.1592640032,1090096.170414014
2017-01-01 06:20:00,650776.7911290226,2105407.1247029854,1112267.784948015
2017-01-01 06:25:00,663542.5742789921,2180634.4167379797,1152069.2564069985
2017-01-01 06:30:00,656796.1838000024,2122068.0049530086,1125898.5497690148
2017-01-01 06:35:00,633280.4295560003,2087211.4058809543,1092911.0376690098
2017-01-01 06:40:00,642072.4876030046,2066593.281389992,1096530.1602529956
2017-01-01 06:45:00,639524.2500180068,2060062.0121349941,1093169.9217180023
2017-01-01 06:50:00,641626.4586790097,2047107.678771016,1090554.209441993
2017-01-01 06:55:00,640202.442974005,2075160.4367859832,1098614.9543650271
2017-01-01 07:00:00,638077.4052339949,2052005.628602021,1088573.63814199
2017-01-01 07:05:00,641767.4654170069,2061034.559602981,1095852.405131013
2017-01-01 07:10:00,642090.5875600084,2079512.7825959572,1105404.3012010152
2017-01-01 07:15:00,637334.5109360062,2066342.0462570281,1091527.581084007
2017-01-01 07:20:00,631753.4645080116,2080895.3761639816,1091590.7116759913
2017-01-01 07:25:00,650429.6570750021,2183443.9639400067,1149858.8177460057
2017-01-01 07:30:00,644197.4884059966,2105510.4714750107,1118364.9198420066
2017-01-01 07:35:00,638372.3511790031,2090785.10121504,1098956.26493898
